,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
137,15,183132,0.8440000000000001,0.655,7,-7.756,0.157,0.0849,0.0,0.53,0.389,121.434,5,2021
138,20,216213,0.597,0.736,2,-3.542,0.0421,0.0028399999999999,3.94e-06,0.0845,0.7559999999999999,95.031,4,2021
139,0,23493,0.647,0.158,7,-21.896,0.688,0.493,0.0,0.5489999999999999,0.638,114.782,5,2021
140,16,136069,0.0,0.00654,5,-22.296,0.0,0.992,0.85,0.113,0.0,0.0,0,2021
141,19,169091,0.483,0.259,6,-14.275,0.0633,0.713,0.821,0.102,0.0386,77.123,4,2021
142,16,137183,0.81,0.0184,6,-20.012,0.168,0.987,0.927,0.106,0.165,126.088,4,2021
143,19,247280,0.6940000000000001,0.952,8,-1.686,0.179,0.0342,0.21,0.0774,0.962,135.476,4,2020
144,15,244821,0.521,0.267,10,-7.401,0.0395,0.858,0.0,0.11,0.382,112.007,4,2020
145,16,96602,0.6759999999999999,0.555,7,-12.511,0.0489,0.0303,0.907,0.205,0.72,163.951,4,2020
146,13,46811,0.497,0.691,7,-10.812,0.0639,0.198,0.935,0.103,0.411,159.997,4,2020
147,14,73367,0.416,0.904,9,-5.447,0.0915,6.82e-05,1.77e-06,0.09,0.344,111.117,4,2021
148,19,250714,0.665,0.87,1,-7.622000000000001,0.065,0.0371,0.0511,0.182,0.884,139.991,4,2020
149,17,156000,0.642,0.574,4,-7.353,0.0291,0.893,0.873,0.186,0.0519,79.994,3,2021
150,19,198027,0.332,0.682,5,-10.48,0.0568,0.0249,0.85,0.361,0.165,139.951,4,2021
151,15,202168,0.361,0.0929,1,-15.0,0.037,0.95,0.797,0.106,0.0989,79.678,4,2021
152,13,376657,0.5770000000000001,0.965,1,-4.263,0.0456,0.000784,0.9,0.153,0.633,159.54399999999998,4,2021
153,17,269388,0.325,0.8109999999999999,7,-3.93,0.0882,0.166,0.0,0.25,0.314,146.983,4,2020
154,13,154366,0.6970000000000001,0.0101,0,-20.122,0.4589999999999999,0.985,0.905,0.134,0.161,112.12,3,2021
